"A 상품군별(1)","A 상품군별(2)",B 판매매체별(1),M201701 2017.01,M201702 2017.02,M201703 2017.03,M201704 2017.04,M201705 2017.05,M201706 2017.06,M201707 2017.07,M201708 2017.08,M201709 2017.09,M201710 2017.10,M201711 2017.11,M201712 2017.12,M201801 2018.01,M201802 2018.02,M201803 2018.03,M201804 2018.04,M201805 2018.05,M201806 2018.06,M201807 2018.07,M201808 2018.08,M201809 2018.09,M201810 2018.10,M201811 2018.11,M201812 2018.12,M201901 2019.01,M201902 2019.02,M201903 2019.03,M201904 2019.04,M201905 2019.05,M201906 2019.06,M201907 2019.07,M201908 2019.08,M201909 2019.09,M201910 2019.10,M201911 2019.11,M201912 2019.12,M202001 2020.01,M202002 2020.02,M202003 2020.03,M202004 2020.04,M202005 2020.05,M202006 2020.06,M202007 2020.07,M202008 2020.08,M202009 2020.09,M202010 2020.10,M202011 2020.11,M202012 2020.12,M202101 2021.01,M202102 2021.02,M202103 2021.03,M202104 2021.04,M202105 2021.05,M202106 2021.06,M202107 2021.07,M202108 2021.08,M202109 2021.09,M202110 2021.10,M202111 2021.11,M202112 2021.12,M202201 2022.01,M202202 2022.02,M202203 2022.03,M202204 2022.04,M202205 2022.05,M202206 2022.06,M202207 2022.07,M202208 2022.08,M202209 2022.09,M202210 2022.10,M202211 2022.11,M202212 2022.12,M202301 2023.01,M202302 2023.02,M202303 2023.03,M202304 2023.04,M202305 2023.05,M202306 2023.06,M202307 2023.07,M202308 2023.08,M202309 2023.09,M202310 2023.10,M202311 2023.11,M202312 2023.12,M202401 2024.01,M202402 2024.02,M202403 2024.03,M202404 2024.04,M202405 2024.05,M202406 2024.06,M202407 2024.07,M202408 2024.08,M202409 2024.09,M202410 2024.10,M202411 2024.11,M202412 2024.12,M202501 M202501 2025.01 p),M202502 M202502 2025.02 p)
"000 합계","소계",00 계,7310479,7148849,7747011,7380795,7621719,7515130,7898554,7859658,8151143,7661802,8996978,8893647,9027008,8207296,9375766,9034274,9363224,8965075,9653420,9270381,9137279,10016442,10574144,10689701,10811796,9666871,11296239,10763785,11374817,10725166,11302975,11418155,11397646,12008033,12991605,12843750,12098574,11884677,12439142,11913275,12552441,12508478,12845894,13415501,13818699,13856877,14978279,15972133,15115721,13834738,15923334,15075852,16030296,15596928,16167481,15802435,16187427,16975318,17580881,18433554,17364292,16243622,18138757,17323878,18169890,17571330,17874141,18556914,17815288,18532281,19011685,19573059,19050522,18029539,19747910,18966615,20496845,19698816,20129573,20359124,20308940,21360691,22195351,21862854,21581836,20346510,21839511,21150572,22290012,21518639,21462186,21087481,20996376,21658446,22630651,22869664,21908779,21061625
"000 합계","소계",20 인터넷쇼핑,3390183,3298823,3585449,3304819,3359693,3341138,3404599,3395357,3585077,3247093,3781198,3582993,3689807,3300302,3869098,3628814,3686046,3507124,3709400,3499822,3524171,3773503,3986055,3934853,3994468,3465165,4207216,4047525,4192050,3835061,4065650,4075273,4106183,4255196,4532075,4461119,3817529,3681611,3944168,3858165,3862018,4034712,4023902,4021483,4220154,4175701,4637678,4619202,4154948,3755863,4584525,4117439,4400375,4452474,4218060,4068287,4221087,4321111,4674470,4546316,4094776,3715625,4469340,4262803,4525484,4400997,4172297,4582650,4429417,4627518,4871573,4926269,4515207,4466080,5029431,4733596,5054452,5104767,4849356,5024017,5341949,5398342,5658916,5164956,5265946,4810544,5388171,5092318,5421479,5237814,4953005,4700269,4725093,4929154,5397945,5170676,4628736,4930844
"000 합계","소계",10 모바일쇼핑,3920295,3850025,4161562,4075976,4262026,4173992,4493955,4464301,4566066,4414710,5215779,5310654,5337201,4906994,5506668,5405460,5677178,5457951,5944021,5770559,5613108,6242938,6588089,6754848,6817328,6201706,7089023,6716261,7182767,6890105,7237325,7342882,7291464,7752837,8459530,8382632,8281045,8203066,8494974,8055111,8690424,8473766,8821992,9394018,9598544,9681175,10340600,11352931,10960772,10078875,11338809,10958413,11629921,11144454,11949421,11734148,11966340,12654207,12906412,13887238,13269516,12527997,13669417,13061074,13644406,13170333,13701844,13974265,13385871,13904764,14140112,14646791,14535316,13563459,14718479,14233019,15442393,14594049,15280216,15335108,14966991,15962349,16536436,16697898,16315891,15535965,16451339,16058254,16868533,16280825,16509182,16387212,16271283,16729292,17232706,17698988,17280043,16130781
"001 컴퓨터 및 주변기기","소계",00 계,422384,475342,473351,368280,350923,376719,380974,416393,399512,353524,460739,475478,511674,453408,504061,409054,404235,371844,404250,418905,382179,419744,468166,501362,561512,542469,532496,469169,440108,389195,443122,447965,435676,445118,528007,554877,606270,674827,759258,719961,614228,584489,627477,655302,711784,615848,736314,915378,886377,849681,871089,732751,728700,663578,751062,774229,736291,729530,832499,961286,857109,943650,895682,717002,734353,638140,699112,726006,684799,671761,800983,762779,785114,890982,865812,677035,710408,638742,675765,677521,646077,638039,759984,742274,898510,855844,844469,696982,701163,680465,635319,596103,583932,578688,739685,699681,752764,850900
"001 컴퓨터 및 주변기기","소계",20 인터넷쇼핑,288391,329143,322089,251604,241871,262908,252949,280831,270647,235350,302907,320177,324233,275786,310948,243815,237559,220404,239475,249200,226280,254118,275284,294467,329496,305306,313340,279362,263783,240539,271299,269744,261053,274936,306368,339917,332810,358997,401374,388215,323924,328080,342726,340705,379361,339603,394626,499998,439730,413960,448924,385886,358402,358087,398976,405435,361370,389970,440303,504938,426178,442616,436962,361297,360368,329328,353768,357832,337087,344168,397312,412450,375141,423478,437403,346698,341423,327989,339051,336671,319041,326641,374888,379723,444934,410399,407632,349025,336993,363514,319730,272648,264436,275886,330702,346507,331595,396009
"001 컴퓨터 및 주변기기","소계",10 모바일쇼핑,133993,146200,151262,116675,109053,113811,128025,135562,128865,118174,157832,155301,187441,177621,193113,165240,166676,151440,164775,169705,155899,165626,192882,206895,232016,237163,219156,189807,176325,148657,171823,178221,174623,170182,221639,214960,273459,315829,357883,331746,290304,256409,284750,314597,332423,276244,341688,415380,446647,435721,422166,346865,370299,305492,352086,368794,374921,339560,392196,456349,430931,501035,458719,355706,373986,308813,345344,368174,347713,327593,403671,350329,409973,467504,428409,330337,368985,310753,336714,340850,327036,311398,385096,362551,453576,445445,436837,347957,364170,316951,315589,323455,319496,302802,408983,353174,421169,454892
"002 가전·전자·통신기기","소계",00 계,602122,626874,667726,716708,861618,752474,926867,758482,706658,728407,948510,815267,858256,770401,946627,945259,1026133,963674,1188194,960593,792407,989521,1182355,1043945,1063081,982059,1324884,1134227,1296165,1177804,1230419,1198465,1096363,1200192,1357353,1213392,1063030,1250751,1298534,1246750,1516238,1459321,1319735,1536013,1311734,1535090,1824791,1716654,1747595,1494087,1665078,1523437,1694043,1635537,1914546,1665114,1570949,2024371,1999871,1759395,1647118,1802121,1661714,1554476,1716531,1683784,1774119,1791461,1619684,2074121,1862379,1748026,1683565,1770532,1600477,1529550,1835429,1757522,1855658,1896131,1537432,2224553,2186638,1819186,1981687,1761285,1703341,1743319,1863954,1900255,2066736,1743424,1944164,1865169,2007139,1762377,1718577,2013434
"002 가전·전자·통신기기","소계",20 인터넷쇼핑,307496,328088,349185,366894,417717,366554,432760,359011,343507,333413,462529,387969,398999,351716,435766,420663,447810,424143,511557,424778,340868,429553,517411,470859,451529,403124,568865,523731,577082,488946,522133,511230,462355,525905,568012,518944,400922,494994,518520,507840,588332,553380,502863,548239,462687,547418,663471,611410,610054,512864,612790,546939,575594,563485,658089,576436,514785,661197,645257,637081,539706,599163,603523,556310,579325,548771,567002,587503,459133,653866,587368,572088,507831,552516,502948,480779,559081,539373,554356,585763,460996,669208,635993,511820,577813,483914,473320,517934,555955,541216,569190,440352,495679,501845,524297,439627,389126,499428
"002 가전·전자·통신기기","소계",10 모바일쇼핑,294626,298786,318541,349814,443900,385920,494107,399471,363151,394994,485981,427298,459257,418685,510861,524596,578323,539531,676637,535814,451538,559968,664944,573086,611551,578935,756020,610496,719082,688858,708286,687235,634009,674287,789341,694448,662108,755756,780014,738910,927906,905941,816872,987774,849047,987672,1161320,1105244,1137541,981223,1052288,976497,1118449,1072052,1256457,1088677,1056165,1363174,1354614,1122314,1107412,1202958,1058191,998166,1137206,1135013,1207117,1203957,1160551,1420255,1275010,1175938,1175734,1218016,1097528,1048771,1276348,1218149,1301302,1310368,1076436,1555345,1550645,1307366,1403874,1277371,1230021,1225385,1307999,1359039,1497546,1303072,1448485,1363323,1482843,1322750,1329451,1514005
"002 가전·전자·통신기기","0021 가전·전자",00 계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,877048,1010114,1075161,1044636,1249831,1253409,1086327,1167355,1015316,1137037,1332687,1287143,1270735,1157483,1233850,1192345,1367817,1304531,1597457,1197748,1138945,1259780,1478880,1307380,1253022,1270414,1247552,1202620,1342253,1331774,1392860,1245593,1080810,1218060,1343715,1273520,1187655,1112200,1137489,1144661,1424129,1407474,1472232,1310784,1159055,1298370,1605455,1344107,1314683,1249955,1264228,1342189,1470056,1519713,1523515,1307901,1205138,1280090,1518639,1304932,1213744,1226678
"002 가전·전자·통신기기","0021 가전·전자",20 인터넷쇼핑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,334252,405949,430905,434469,493268,474303,414149,417554,360056,403030,481670,465897,448884,410099,467334,434482,471309,464384,563672,424462,393101,427617,493590,515133,439078,441867,487140,455484,480048,461275,473197,426569,341739,395594,453894,437755,389303,382382,389188,382835,455734,448825,458800,417750,369024,389860,485015,398917,400242,366728,367231,410320,450600,442799,418586,334385,305866,322777,393344,324350,280897,292441
"002 가전·전자·통신기기","0021 가전·전자",10 모바일쇼핑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,542796,604164,644256,610167,756563,779106,672178,749801,655260,734007,851017,821246,821851,747384,766516,757862,896508,840147,1033785,773285,745845,832163,985290,792247,813944,828547,760412,747136,862205,870499,919663,819023,739071,822466,889820,835765,798352,729819,748301,761827,968395,958649,1013433,893034,790031,908511,1120440,945190,914441,883227,896997,931870,1019456,1076914,1104930,973516,899272,957312,1125296,980582,932847,934236
"002 가전·전자·통신기기","0022 통신기기",00 계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185982,240637,223373,202114,266407,205912,233408,368658,296418,398053,492104,429511,476860,336604,431228,331092,326226,331006,317089,467366,432004,764591,520991,452015,394096,531707,414162,351856,374278,352010,381259,545868,538874,856061,518664,474506,495910,658331,462987,384888,411300,350048,383425,585347,378377,926182,581184,475079,667005,511330,439113,401129,393898,380542,543220,435523,739026,585079,488500,457445,504833,786756
"002 가전·전자·통신기기","0022 통신기기",20 인터넷쇼핑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66670,89045,87615,73371,95064,79077,88714,130685,102631,144388,181801,145513,161170,102765,145456,112457,104285,99101,94417,151974,121684,233580,151667,121948,100628,157296,116383,100826,99277,87496,93805,160934,117394,258272,133474,134333,118528,170134,113760,97944,103347,90548,95556,168013,91972,279348,150979,112903,177572,117186,106089,107614,105355,98417,150604,105967,189813,179068,130953,115277,108229,206987
"002 가전·전자·통신기기","0022 통신기기",10 모바일쇼핑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119312,151592,135758,128743,171343,126835,144694,237973,193787,253665,310303,283998,315690,233839,285772,218635,221941,231905,222672,315392,310320,531011,369324,330067,293468,374411,297779,251030,275001,264514,287454,384934,421480,597789,385190,340173,377382,488197,349227,286944,307953,259500,287869,417334,286405,646834,430205,362176,489433,394144,333024,293515,288543,282125,392616,329556,549213,406011,357547,342168,396604,579769
"003 서적","소계",00 계,151230,154330,185571,122418,114380,116272,143084,149989,136666,113732,132523,161681,171254,147783,191597,144169,129125,117353,148060,149224,128183,131744,142405,168500,173949,154317,196741,147909,133322,122458,156406,154251,147118,133779,147454,178831,167000,186751,260453,204465,170804,170991,192838,206849,222966,172641,186634,256385,259470,220264,269670,191687,188235,180939,222672,218647,207070,183503,206931,258394,241890,228826,288618,210169,199924,177803,211863,219179,202178,171879,198808,219264,216561,219863,264568,187188,193747,172455,213636,208832,190452,168699,197480,234317,234199,211983,272837,194286,200524,176025,229623,213550,206634,207396,206826,240067,232369,232505
